geo,Month,Central estimate,bottom,lower_band,central_band,upper_band,Long run,commentary_central,commentary_higher,commentary_lower
US,2025-05-01,4.375,4,0.25,0.25,0.25,,The Fed wants to wait-and-see before acting. It says it is in a good position to respond either way,Evidence emerges that tariffs are likely to have more of an inflationary impact that expected and the Fed makes a pre-emptive move,"Consumer confidence and business sentiment weaken rapidly, prompting the Fed to make an emergency rate cut"
US,2025-06-01,4.375,4,0.25,0.25,0.25,,The Fed holds rates in wait-and-see mode while it assesses the effects of the tariff stagflationary shock,"A clear inflationary shock from tariffs emerges, forcing the Fed to shore up its credibility with a rate rise",The Fed gains sufficient evidence of an economic downturn and rapird rise in unemployment to cut rates
US,2025-07-01,,3.875,0.375,0.25,0.291666666666667,,,,
US,2025-08-01,,3.75,0.5,0.25,0.333333333333333,,,,
US,2025-09-01,,3.625,0.625,0.25,0.375,,,,
US,2025-10-01,,3.5,0.75,0.25,0.416666666666667,,,,
US,2025-11-01,,3.375,0.875,0.25,0.458333333333333,,,,
US,2025-12-01,4.375,3.25,1,0.25,0.5,,The Fed continues in wait-and-see mode with some tension between its price stability and maximum employment elements of its mandate,Tariffs result in a significant rise in inflation and the Fed is forced to raise rates to maintain the credibility of monetary policy,"The Fed has sufficient evidence that the inflationary shock is small and cuts rates, perhaps aggressively"
US,2026-01-01,,3.16666666666667,1.04166666666667,0.25,0.583333333333333,,,,
US,2026-02-01,,3.08333333333333,1.08333333333333,0.25,0.666666666666667,,,,
US,2026-03-01,,3,1.125,0.25,0.75,,,,
US,2026-04-01,,2.91666666666667,1.16666666666667,0.25,0.833333333333333,,,,
US,2026-05-01,,2.83333333333333,1.20833333333333,0.25,0.916666666666667,,,,
US,2026-06-01,4.125,2.75,1.25,0.25,1,,"The Fed begins to ease, but it is very tentative",Inflationary results of tariffs and the US budget require interest rates to stay higher or rise,Clear weakness in the real economy leads to the faster pace of cuts
US,2026-07-01,,2.70833333333333,1.25,0.25,1,,,,
US,2026-08-01,,2.66666666666667,1.25,0.25,1,,,,
US,2026-09-01,,2.625,1.25,0.25,1,,,,
US,2026-10-01,,2.58333333333333,1.25,0.25,1,,,,
US,2026-11-01,,2.54166666666667,1.25,0.25,1,,,,
US,2026-12-01,3.875,2.5,1.25,0.25,1,3.875,The Fed continues gradual path of easing towards neutral,Inflationary policies require interest rates to stay higher or rise,Weakness in real economy leads to faster pace of cuts or a lower estimate of neutral rates
US,2027-01-01,,,,,,,,,
US,2027-02-01,,,,,,,,,
US,2027-03-01,,1.5,1,1.5,1,3.25,"Interest rates converge on a rate similar to the long-term trend growth of the US economy plus inflation, although the path towards these rates might be bumpy with long periods outside the range.",Strong growth or a growing lack of confidence in US public finances requires a higher neutral interest rate.,"Weak and persistently low growth generates few outside options for savings, helping the longer-term interest rate to fall to low levels."
Eurozone,2025-04-01,2.25,2,0.25,0,0.25,,Easing continues with a fifth consecutive cut given persistently weak activity and intensifying geopolitical risks,"The hawks on the governing council successfully press for a pause, aided by concern about tariffs raising inflation","Inflation weakens materially and economic activity surprises consistently to the downside, forcing a larger-sized cut"
Eurozone,2025-05-01,,2,0.25,0,0.25,,,,
Eurozone,2025-06-01,2.25,2,0.25,0,0.25,,"The ECB delivers three cuts in total in the first half of 2025, front-loading a four-cut easing cycle for 2025","Core inflation is sticky and consumption rebounds, slowing the ECB’s pace of easing","The ECB is forced to cut faster as economic activity weakens materially due to geopolitical risk, extended consumer weakness, or a combination of these factors"
Eurozone,2025-07-01,,1.91666666666667,0.25,0.0416666666666667,0.25,,,,
Eurozone,2025-08-01,,1.83333333333333,0.25,0.0833333333333333,0.25,,,,
Eurozone,2025-09-01,,1.75,0.25,0.125,0.25,,,,
Eurozone,2025-10-01,,1.66666666666667,0.25,0.166666666666667,0.25,,,,
Eurozone,2025-11-01,,1.58333333333333,0.25,0.208333333333333,0.25,,,,
Eurozone,2025-12-01,1.875,1.5,0.25,0.25,0.25,,"The ECB cuts rates four to five times, taking the benchmark at or just below neutral as the European economy slows down",Growth and consumption both respond well to lower rates and the ECB fears resurgent inflation and fails to take rates to their neutral levels by the end of the year,Consumer weakness becomes apparent and fears of undershooting become the primary driver of policy. Rates fall below neutral
Eurozone,2026-01-01,,1.41666666666667,0.291666666666667,0.25,0.333333333333333,,,,
Eurozone,2026-02-01,,1.33333333333333,0.333333333333333,0.25,0.416666666666667,,,,
Eurozone,2026-03-01,,1.25,0.375,0.25,0.5,,,,
Eurozone,2026-04-01,,1.16666666666667,0.416666666666667,0.25,0.583333333333333,,,,
Eurozone,2026-05-01,,1.08333333333333,0.458333333333333,0.25,0.666666666666667,,,,
Eurozone,2026-06-01,1.625,1,0.5,0.25,0.75,,"The ECB delivers another rate cut after December 2025, keeping the stance slightly accommodative",The ECB keeps rates close to neutral as a strong pick-up in consumption keeps inflation at target,The ECB delivers additional rate cuts after persistently weak consumption and an unfavourable international environment raise the risks of undershooting.
Eurozone,2026-07-01,,1,0.5,0.25,0.75,,,,
Eurozone,2026-08-01,,1,0.5,0.25,0.75,,,,
Eurozone,2026-09-01,,1,0.5,0.25,0.75,,,,
Eurozone,2026-10-01,,1,0.5,0.25,0.75,,,,
Eurozone,2026-11-01,,1,0.5,0.25,0.75,,,,
Eurozone,2026-12-01,1.625,1,0.5,0.25,0.75,1.625,"The ECB delivers another rate cut after December 2025, keeping the stance slightly accommodative",The ECB keeps rates close to neutral as a strong pick-up in consumption keeps inflation at target,The ECB delivers additional rate cuts after persistently weak consumption and an unfavourable international environment raise the risks of undershooting.
Eurozone,2027-01-01,,,,,,,,,
Eurozone,2027-02-01,,,,,,,,,
Eurozone,2027-03-01,,0.5,1,1,0.75,2,Interest rates converge on a rate similar to the expected inflation rate and lower than nominal GDP.,More potential investment opportunity or an uplift in productivity would require a higher neutral interest rate.,"Weak potential output and persistently low investment generate few outside options for savings, helping the long-term interest rate to fall to low levels."
UK,2025-05-01,4.25,4,0.25,0,0.25,,"We expect the BoE to cut in May, maintaining the quarterly pace of monetary easing since last August","MPC decides to leave rates unchanged in May, noting greater persistent inflationary pressures prevent more rapid monetary loosening","UK activity and inflation slows significantly in early 2025, leading to fears of stagnation and a rapid drop in inflation without a more aggressive programme of cuts"
