geo,Month,Central estimate,bottom,lower_band,central_band,upper_band,Long run,commentary_central,commentary_higher,commentary_lower
US,2024-11-01,4.625,4.25,0.25,0.25,0.25,,The Fed delivers another cut after seeing further consistent evidence of gradual disinflation.,The Fed decides to hold rates after progress on disinflation stalls.,A further sharp weakening of the labour market in October forces the Fed into a 0.5 percentage point cut
US,2024-12-01,4.375,4,0.25,0.25,0.5,,"The Fed, satisfied with yet more progress on disinflation in the autumn, eases in line with  its projections.",A lack of meaningful additional progress on inflation forces the Fed to normalise at a very slow pace.,A sudden and sharp weakening of the labour market prompts the Fed to deliver multiple cuts
US,2025-01-01,,3.83333333333333,0.291666666666667,0.25,0.583333333333333,,,,
US,2025-02-01,,3.66666666666667,0.333333333333333,0.25,0.666666666666667,,,,
US,2025-03-01,,3.5,0.375,0.25,0.75,,,,
US,2025-04-01,,3.33333333333333,0.416666666666667,0.25,0.833333333333333,,,,
US,2025-05-01,,3.16666666666667,0.458333333333333,0.25,0.916666666666667,,,,
US,2025-06-01,3.625,3,0.5,0.25,1,,The Fed continues gradual policy normalisation as the economy slows and inflation remains under control,Expansionary policies from a new US administration and a lack of meaningful additional progress on inflation forces the Fed to normalise at a very slow pace.,The Fed has to deliver more cuts due to further weakness in the economy
US,2025-07-01,,2.95833333333333,0.5,0.25,1.04166666666667,,,,
US,2025-08-01,,2.91666666666667,0.5,0.25,1.08333333333333,,,,
US,2025-09-01,,2.875,0.5,0.25,1.125,,,,
US,2025-10-01,,2.83333333333333,0.5,0.25,1.16666666666667,,,,
US,2025-11-01,,2.79166666666667,0.5,0.25,1.20833333333333,,,,
US,2025-12-01,3.375,2.75,0.5,0.25,1.25,,The Fed continues gradual policy normalisation as the economy slows and inflation remains under control,Expansionary policies from a new US administration and a lack of meaningful additional progress on inflation forces the Fed to normalise at a very slow pace.,The Fed has to deliver more cuts due to further weakness in the economy
US,2026-01-01,,2.66666666666667,0.541666666666667,0.333333333333333,1.20833333333333,,,,
US,2026-02-01,,2.58333333333333,0.583333333333333,0.416666666666667,1.16666666666667,,,,
US,2026-03-01,,2.5,0.625,0.5,1.125,,,,
US,2026-04-01,,2.41666666666667,0.666666666666667,0.583333333333333,1.08333333333333,,,,
US,2026-05-01,,2.33333333333333,0.708333333333333,0.666666666666667,1.04166666666667,,,,
US,2026-06-01,3.375,2.25,0.75,0.75,1,,The Fed continues gradual policy normalisation as the economy slows and inflation remains under control,Expansionary policies from a new US administration and a lack of meaningful additional progress on inflation forces the Fed to normalise at a very slow pace.,The Fed has to deliver more cuts due to further weakness in the economy
US,2026-07-01,,2.20833333333333,0.708333333333333,0.875,1,,,,
US,2026-08-01,,2.16666666666667,0.666666666666667,1,1,,,,
US,2026-09-01,,2.125,0.625,1.125,1,,,,
US,2026-10-01,,2.08333333333333,0.583333333333333,1.25,1,,,,
US,2026-11-01,,2.04166666666667,0.541666666666667,1.375,1,,,,
US,2026-12-01,3.25,2,0.5,1.5,1,3.25,The Fed continues gradual policy normalisation as the economy slows and inflation remains under control,Expansionary policies from a new US administration and a lack of meaningful additional progress on inflation forces the Fed to normalise at a very slow pace.,The Fed has to deliver more cuts due to further weakness in the economy
US,2027-01-01,,,,,,,,,
US,2027-02-01,,,,,,,,,
US,2027-03-01,,1.5,1,1.5,1,3.25,"Interest rates converge on a rate similar to the long term trend growth of the US economy plus inflation, although the path towards these rates might be bumpy with long periods outside the range. Hence the low probability for a central scenario.",Strong growth or a growing lack of confidence in US public finances requires a higher neutral interest rate.,"Weak growth and persistently low generates few outside options for savings, helping the longer-term interest rate to fall to low levels."
