geo,Month,Central estimate,bottom,lower_band,central_band,upper_band,Long run,commentary_central,commentary_higher,commentary_lower
US,2025-07-01,4.375,4,0.25,0.25,0.25,,The Fed continues in wait-and-see mode,"An unforeseen shock emerges, forcing the Fed to shore up its credibility with a rate rise",The majority of the FOMC is persuaded by Christopher Waller's arguments for a July rate cut
US,2025-08-01,,4,0.25,0.25,0.25,,,,
US,2025-09-01,4.375,4,0.25,0.25,0.25,,The Fed continues in wait-and-see mode with some tension between its price stability and maximum employment elements of its mandate,Inflation data overshoots and inflation expectations rise sharply forcing the Fed to hike,Inflation remains contained or unemployment rises quickly and the pushes the Fed to cut
US,2025-10-01,,3.75,0.5,0.25,0.333333333333333,,,,
US,2025-11-01,,3.5,0.75,0.25,0.416666666666667,,,,
US,2025-12-01,4.375,3.25,1,0.25,0.5,,The Fed continues in wait-and-see mode with some tension between its price stability and maximum employment elements of its mandate,Tariffs result in a significant rise in inflation and the Fed is forced to raise rates to maintain the credibility of monetary policy,"The majority of the FOMC gains sufficient confidence that tariff inflation is contained, justifying a cut"
US,2026-01-01,,3.16666666666667,1,0.25,0.625,,,,
US,2026-02-01,,3.08333333333333,1,0.25,0.75,,,,
US,2026-03-01,,3,1,0.25,0.875,,,,
US,2026-04-01,,2.91666666666667,1,0.25,1,,,,
US,2026-05-01,,2.83333333333333,1,0.25,1.125,,,,
US,2026-06-01,3.875,2.75,1,0.25,1.25,,The Fed resumes easing at a quarterly pace,Inflationary results of tariffs and the US budget require interest rates to stay higher or rise,Clear weakness in the real economy leads to the faster pace of cuts
US,2026-07-01,,2.70833333333333,0.958333333333333,0.25,1.29166666666667,,,,
US,2026-08-01,,2.66666666666667,0.916666666666667,0.25,1.33333333333333,,,,
US,2026-09-01,,2.625,0.875,0.25,1.375,,,,
US,2026-10-01,,2.58333333333333,0.833333333333333,0.25,1.41666666666667,,,,
US,2026-11-01,,2.54166666666667,0.791666666666667,0.25,1.45833333333333,,,,
US,2026-12-01,3.375,2.5,0.75,0.25,1.5,3.375,The Fed continues a path of easing to neutral,Inflationary policies require interest rates to stay higher or rise,Weakness in real economy leads to faster pace of cuts or a lower estimate of neutral rates
US,2027-01-01,,,,,,,,,
US,2027-02-01,,,,,,,,,
US,2027-03-01,,1.5,1,1.5,1,3.25,"Interest rates converge on a rate similar to the long-term trend growth of the US economy plus inflation, although the path towards these rates might be bumpy with long periods outside the range.",Strong growth or a growing lack of confidence in US public finances requires a higher neutral interest rate.,"Weak and persistently low growth generates few outside options for savings, helping the longer-term interest rate to fall to low levels."
