date,Period,All items,All items less food and energy,Shelter,Services less energy services,FT core,Energy,All items less food,All items less food and shelter,"All items less food, shelter, and energy","All items less food, shelter, energy, and used cars and trucks",All items less shelter,All items less medical care,All items less energy,Apparel less footwear,Apparel,Men's and boys' apparel,Women's and girls' apparel,Commodities,Energy commodities,Commodities less food,Commodities less food and beverages,Commodities less food and energy commodities,"Commodities less food, energy, and used cars and trucks",Durables,Education and communication,Education,Communication,Information and information processing,Education and communication commodities,Education and communication services,Food and beverages,Food,Food at home,Cereals and bakery products,"Meats, poultry, fish, and eggs","Meats, poultry, and fish",Meats,Fruits and vegetables,Fresh fruits and vegetables,Nonalcoholic beverages and beverage materials,Other food at home,Alcoholic beverages,Other goods and services,Personal care,Other goods,Housing,Fuels and utilities,Household energy,Household furnishings and operations,Household furnishings and supplies,Medical care,Medical care commodities,Medical care services,Nondurables,Domestically produced farm food,Nondurables less food,Nondurables less food and beverages,"Nondurables less food, beverages, and apparel",Nondurables less food and apparel,Recreation,Recreation commodities,Recreation services,Services,Utilities and public transportation,Rent of shelter,Other services,Transportation services,Services less rent of shelter,Services less medical care services,Transportation,Private transportation,Transportation commodities less motor fuel,Men's apparel,"Men's suits, sport coats, and outerwear","Men's underwear, nightwear, swimwear and accessories",Men's shirts and sweaters,Men's pants and shorts,Boys' apparel,Women's apparel,Women's outerwear,Women's dresses,Women's suits and separates,"Women's underwear, nightwear, swimwear and accessories",Girls' apparel,Footwear,Men's footwear,Boys' and girls' footwear,Women's footwear,Infants' and toddlers' apparel,Jewelry and watches,Watches,Jewelry,Educational books and supplies,"Tuition, other school fees, and childcare",College tuition and fees,Elementary and high school tuition and fees,Day care and preschool,Technical and business school tuition and fees,Postage and delivery services,Postage,Delivery services,"Information technology, hardware and services","Computers, peripherals, and smart home assistants",Internet services and electronic information providers,"Telephone hardware, calculators, and other consumer information items",Information technology commodities,Cereals and cereal products,Flour and prepared flour mixes,Breakfast cereal,"Rice, pasta, cornmeal",Bakery products,Bread,"Fresh biscuits, rolls, muffins","Cakes, cupcakes, and cookies",Other bakery products,Beef and veal,Uncooked ground beef,Uncooked beef roasts,Uncooked beef steaks,Pork,"Bacon, breakfast sausage, and related products",Ham,Pork chops,"Other pork including roasts, steaks, and ribs",Other meats,Poultry,Chicken,Other uncooked poultry including turkey,Fish and seafood,Fresh fish and seafood,Processed fish and seafood,Eggs,Dairy and related products,Milk,Cheese and related products,Ice cream and related products,Other dairy and related products,Fresh fruits,Apples,Bananas,Citrus fruits,Other fresh fruits,Fresh vegetables,Potatoes,Lettuce,Tomatoes,Other fresh vegetables,Processed fruits and vegetables,Canned fruits and vegetables,Frozen fruits and vegetables,Other processed fruits and vegetables including dried,Juices and nonalcoholic drinks,Carbonated drinks,Nonfrozen noncarbonated juices and drinks,Beverage materials including coffee and tea,Coffee,Other beverage materials including tea,Sugar and sweets,Sugar and sugar substitutes,Candy and chewing gum,Other sweets,Fats and oils,Butter and margarine,Salad dressing,Other fats and oils including peanut butter,Other foods,Soups,Frozen and freeze dried prepared foods,Snacks,"Spices, seasonings, condiments, sauces",Other miscellaneous foods,Food away from home,Full service meals and snacks,Food at employee sites and schools,Other food away from home,Alcoholic beverages at home,"Beer, ale, and other malt beverages at home",Distilled spirits at home,Wine at home,Alcoholic beverages away from home,Tobacco and smoking products,Cigarettes,Miscellaneous personal services,Legal services,Funeral expenses,Laundry and dry cleaning services,Financial services,Miscellaneous personal goods,Rent of primary residence,Lodging away from home,"Housing at school, excluding board",Other lodging away from home including hotels and motels,Owners' equivalent rent of residences,Owners' equivalent rent of primary residence,Fuel oil and other fuels,Fuel oil,"Propane, kerosene, and firewood",Energy services,Electricity,Utility (piped) gas service,Water and sewer and trash collection services,Water and sewerage maintenance,Garbage and trash collection,Window and floor coverings and other linens,Window coverings,Other linens,Furniture and bedding,Other furniture,Appliances,Major appliances,Other appliances,Other household equipment and furnishings,Indoor plants and flowers,Nonelectric cookware and tableware,"Tools, hardware, outdoor equipment and supplies","Tools, hardware and supplies",Outdoor equipment and supplies,Housekeeping supplies,Household cleaning products,Miscellaneous household products,"Moving, storage, freight expense",Professional services,Physicians' services,Dental services,Eyeglasses and eye care,Services by other medical professionals,Hospital and related services,Hospital services,Nursing homes and adult day services,Medicinal drugs,Prescription drugs,Nonprescription drugs,Video and audio,Televisions,"Cable, satellite, and live streaming television service",Other video equipment,Audio equipment,Video and audio products,Video and audio services,"Pets, pet products and services",Pets and pet products,Pet services including veterinary,Sporting goods,Sports vehicles including bicycles,Sports equipment,Photography,Photographic equipment and supplies,Other recreational goods,Toys,"Sewing machines, fabric and supplies",Music instruments and accessories,Other recreation services,"Club membership for shopping clubs, fraternal, or other organizations, or participant sports fees",Admissions,Fees for lessons or instructions,Recreational reading materials,New and used motor vehicles,New vehicles,Used cars and trucks,Leased cars and trucks,Car and truck rental,Motor fuel,Gasoline (all types),Other motor fuels,Motor vehicle parts and equipment,Tires,Motor vehicle maintenance and repair,Motor vehicle repair,Motor vehicle insurance,Parking and other fees,Public transportation,Airline fares,Other intercity transportation,NA,Weighted median,Trim 10,Trim 20,Diffusion,Prop. increasing,Volatility,Excl. energy & food
2025-03-01,One year,2.40558526402804,2.80873337079574,3.9959182023925,3.67867776924437,,-3.21898109387207,2.32084203998979,1.11214564618166,1.81950722747686,1.85750269881253,1.49943961052047,2.3863462217573,2.82945785257216,0.695095983617929,0.345901864663034,2.35714847127251,-0.626623733030849,0.0831641732318702,-9.49885995822504,-1.63211022447775,-1.77024845991226,-0.028354589220428,-0.143529857264146,-0.95837366892545,0.558812250041091,3.91611839883275,-1.87429914027874,-1.98578743563922,-5.65343522252883,1.61469660055268,2.88949317109892,2.95179327081376,2.40562994691633,1.06755535472211,7.8390463834128,3.18915766208252,4.68109636915539,-0.702555520889462,-0.918608373856468,2.44434843902772,1.04871721380749,1.89625380149294,3.80738474225016,3.10897298532838,2.77209235520125,3.70952198252032,4.14430095095318,3.88061394223501,0.932963583231068,-0.285865237654959,2.64386192688606,0.996774422318362,3.01682065159244,0.473546465391345,2.56546742074996,-2.2042185140667,-2.50238777459408,-3.358904478315,-2.90531126155598,1.84786157362063,-2.29060921212983,4.30636768413713,3.70655017461292,1.83343954179365,4.01231730857615,3.01100453925146,3.08188789568563,3.30400040581376,3.78195735716633,-0.825504953395967,-0.532903978258389,0.28435874821325,2.014054029255,3.40705441511893,1.98911074728993,0.460738902335639,2.94465043956701,2.6922227620015,-0.103417306977043,3.37992701088934,-2.67845411716125,-1.51767068807277,2.71997422334399,-3.96182057551251,-0.73320395779807,-0.259823766001151,-2.22718212525214,-0.524342308765942,-4.16679630378644,4.20435339308579,2.27643711121895,5.08610726742227,12.3478364708984,3.67425001494169,2.32301051495084,5.30709512287947,5.61558362501903,1.08546099419515,2.98868634757658,3.17240108600817,6.19358694789336,-3.85752498944108,-5.42323696890057,-1.09756377580308,-9.02719033232629,-7.38162272843614,0.878763680113151,2.85496645531485,3.01114519539826,-0.825522785254056,1.16077006938314,0.116483219663722,2.41753093255532,1.08813986539029,0.752343851301462,8.60068291961258,10.3743594542706,8.93020321776194,6.73987246878179,2.85110757170129,3.8649811861494,4.56708249100142,1.88455882963787,1.02373196835737,-1.18181597634981,0.90029966793553,1.31466292447907,-0.921961661963599,0.174242944448254,0.628618768435236,-1.02696729326136,60.4366519050263,2.24205142071702,2.93931840893167,2.20999946673574,1.17070716040612,2.71592674395258,1.17186543743604,4.58761992408361,-0.838870868346001,0.193651624125593,1.42377128538072,-3.04611751922435,-1.72011682226627,-5.12919672119109,-8.17020349233157,-1.38987249776532,1.32503216456426,1.6379759560624,0.86712163789643,2.40103658472611,1.62048751087434,1.62199541324556,0.870904598401951,4.49864191942054,6.68378702277008,2.14699117951828,3.60620153960144,2.17708129873642,5.36631994408585,-0.68261657739223,1.13152641448761,3.6986547348131,0.207155768513481,0.322399465763305,0.577631432079475,0.7854122216402,-1.03632302809451,-0.184977165881004,1.98381260650664,0.821549931979205,3.79019383013392,4.05252494532379,3.75954523163763,4.65551201509403,0.908347794917975,1.80185454891427,0.276598969384664,0.359617721435849,3.17398672503884,6.83026254235784,7.62778739435904,4.65737881978159,,2.55435497415042,4.89015230963527,3.65701173431531,0.653042320384423,3.99220398762659,-2.50859411270677,3.85230299527591,-3.73810762880138,4.38226899882046,4.37281174749967,-3.30752010967942,-7.57065930969962,0.464163084581082,4.23287900481601,2.78551132800883,9.3739269280956,4.92741900442205,4.7728966198058,5.25200199995082,-0.853630401107413,1.71317906445525,-0.486180324282283,-1.78576794783184,-7.24725559303192,-2.49849239100874,-5.89062929376202,-0.893997445721585,1.3099065144293,0.864706328537834,-4.30509708433222,-0.0413650465356704,-0.392441381129835,0.230691323755588,1.12290099927888,1.74338273143506,0.989330188950566,2.78639933733196,2.4921847046195,2.88688999272496,2.06882214045342,4.2189685994093,0.949712984124298,3.85104582765733,3.7161252773635,4.78224556386828,1.23299669853342,2.14723200553326,-0.605297477177678,0.761281927792291,-9.07424381301558,1.32154833339586,-3.49396177746512,-1.9406068954341,-3.25115893531453,2.02733279029776,1.28876034169637,-1.1955388612182,4.70005257855207,-4.95187012116279,-6.98361396375262,-3.15348837209303,-1.85131982670452,-0.445473462090798,-1.11604427685196,-1.4781166630615,-1.94417727310928,2.81420313790256,5.5811401853166,4.92662148840266,6.3892050782187,4.5161838941843,2.66518466194364,-0.284169615223255,-0.0441827038696262,0.575499840289314,,-8.72543588460599,-9.77604812983621,-9.7730021548984,-9.83540908800279,1.18153599679583,1.64373113818519,4.83021200321404,6.38481127819267,7.54943495093907,2.23752591009888,-3.50410616811712,-5.20088098466517,-1.23172060724334,,3.97667659002997,2.98351720334214,3.0202179269155,0.55168,0.698412698412698,,2.80873337079574
2025-02-01,One year,2.81427037315688,3.14366750645688,4.24346846389638,4.12013571409434,,-0.333822799252061,2.85394679247117,1.83646488817986,2.21885771822933,2.26137639891518,1.992312983541,2.81033341579028,3.05983165238493,0.793781090443433,0.546754413582846,1.34493052624997,0.22838044840551,0.554551796926701,-3.17254328962715,-0.664967614129584,-0.761493436381203,-0.0343539054966176,-0.187412245894644,-1.22672243896552,0.33434504682886,3.65368803229376,-2.05606479072435,-2.17163269356166,-6.93728748203457,1.58453156363934,2.51893118364862,2.56861590650483,1.84010733686759,0.278751105488817,7.33427143420713,3.05479380218954,3.88508578811526,-0.256015514029826,-0.298184199259569,2.06072763745783,0.109061231659964,1.72567595601963,3.2725423236213,2.52108679039497,2.71596764443421,3.84504542765703,3.43736846804331,2.95815734297609,1.00820951217859,-0.44562943980705,2.88651349763889,2.31625049602446,3.0123162692209,1.33485103076949,1.95074534240156,-0.0427129561209899,-0.172927899034378,-0.416223667396702,-0.229205825479033,1.77709839604735,-2.39169621923489,4.28145017942783,4.07494003739954,2.08741458297984,4.26003519244044,2.84518929931362,6.06185508399897,3.81849027487385,4.19262846663816,1.58271101892548,1.78925706854448,0.188803712381425,0.339269277873708,3.97066338032402,-0.310076677455089,-3.069654694766,2.10118945138519,4.49503130061726,-0.296934426980707,0.652208706786173,-1.47733303009629,-1.44506369426751,2.34446498106842,4.58533127221527,-0.214693838355423,0.834515397770197,-1.46974601968904,-0.563401498889007,-3.97686915166301,3.806181949533,2.65082674930972,4.26235203090704,9.35965994789524,3.47380697627166,2.24912395227062,4.73713369872772,5.38227263180003,0.999908900428157,2.98137170101897,3.17185556544436,6.26760068411312,-4.1684269821152,-6.04442022073853,-0.671032232686209,-10.6712769762728,-8.57403697410798,-0.465129165988432,1.05540404229088,-0.213195003084296,-0.535640990559595,0.613981870039251,0.223736100133404,3.37040955895637,-0.80802289221229,0.364846466305843,7.63624871915191,7.78761921355471,9.49542625744692,6.33069583842246,1.79280603892562,2.64358804253864,0.364746797862422,2.65831474171958,1.73451548451548,-1.0934273291109,1.31961632647701,2.11187770909745,-1.95999122828392,1.84394276410832,1.08456510351425,2.24449273409907,58.7750932009012,0.784786072852691,1.4626221950201,-0.0182221277371161,0.815190449786828,1.53129582546498,1.86610574681047,3.63410099117169,-1.32223616580361,1.0083937028636,2.54518392515416,-2.52396348816901,-0.652560205751694,2.30624955404014,-9.69774707407033,-1.92794843419749,0.80950876638761,1.30227481883304,-0.238158808137981,2.42872955095512,1.31494804156676,0.543273154933793,1.44852760973597,3.89744241371763,5.96573596436265,1.28898542967218,2.85533433872463,1.78977453635548,4.00095941373697,0.258013552123361,-0.200896453040462,1.33630528199577,-1.77349785468541,0.0440460036037719,-0.33936966257754,-0.879461647465502,-0.722431668237506,-1.26477190360783,0.850144370205078,-0.415489738751306,3.68403392776598,3.66097957756894,4.03913634971713,5.08958928683173,0.430344057018401,1.54117964854387,-0.932992859507252,0.108296733048557,3.40106007067138,6.58327212144438,7.82194086064588,3.24888610671281,,3.32229665562998,4.77409228930812,-2.62367903055024,-0.233819785991549,4.08729102654054,2.02151579457313,3.8206506070789,1.70330217464018,4.42595418714459,4.41495426026269,-1.69724758526516,-5.06013386320854,0.698914629422156,3.20337803974956,2.4646757451534,5.99505402657383,4.88466984210932,4.75222950326038,5.14076629143183,0.912110246368908,5.69295261394186,1.64146657221719,-2.09389381397486,-7.44445693304859,-3.06183569205473,-3.9687696153465,-2.6430831947648,0.668377614888946,3.11977645596927,-5.64021916850762,0.181383905321192,-0.296760434146458,0.37290878149033,0.377559499712354,1.14886796772933,-0.358214047108004,3.54871732804834,2.38305009682024,2.64816663531886,1.57737065509996,4.25568096239901,1.75385301627343,3.76386373581671,3.59010150730386,4.13293128434808,2.6984483921745,4.57674343871079,-1.14962006350113,1.94477485131691,-8.7035358114234,2.69927592103325,-4.30532929951128,-3.13970501008344,-3.57927499084584,3.71042141044295,2.41483632022358,-0.559248356922518,6.57988539861416,-5.34080313542045,-7.49407447923788,-2.83926011398999,-0.851014892760617,0.354480071481917,-1.56898106402166,-1.9240344263461,-1.32129750862116,2.21436004162331,4.29655306757506,5.12207869782722,3.36514239357841,4.08546872472261,2.01917602153788,0.00474709833614221,-0.309872366084892,0.75245071636324,,-7.10395090141926,-3.24724115175789,-3.0847966174583,-8.15161289230802,1.15080422998312,1.02998832985851,5.77022244246506,7.85835593910658,11.101121521898,3.92924119252768,-0.572499180547684,-0.68806572124231,-0.84347488348006,,3.68403392776598,3.04874463985517,3.08054425479995,0.68206,0.714285714285714,,3.14366750645688
2025-01-01,One year,2.99941251283112,3.2920999144372,4.39758713751635,4.32812522937351,,0.800391096139708,3.0829758892135,2.1164668914833,2.36092165898617,2.40391405590785,2.19272177239968,3.03353812065666,3.17255021302495,0.35664571819222,0.467758618028,1.25331215649889,0.00651059832399063,0.775684163301922,-0.454494994677967,-0.258276590748996,-0.326603325415679,-0.0718512256973794,-0.243738546120954,-1.20545874178736,0.491160487033087,3.83180267200842,-1.92191709219573,-2.11672597864768,-6.57906294467966,1.71236258310841,2.40789627523736,2.47149507746318,1.88493914956732,0.4034277290451,5.84785491492501,2.31053064038135,3.24466979384147,0.170830240635486,0.372976457907301,2.23805280768112,0.803888577304184,1.38974504602471,2.3774759335814,1.3906835623773,2.57261290509596,3.84727830869588,2.81685169736251,2.28382247810412,0.430129377497792,-0.930857309249396,2.63526224156302,2.28866894348569,2.70981725527181,1.63917791041964,1.97551377627545,0.677990845620758,0.624101111353243,0.691415986212157,0.752027892656757,1.62503717998013,-1.90383235927045,3.80491482186967,4.23742098609356,2.54588881220289,4.42897269015738,2.49949553027669,8.31793641271746,3.94177222000749,4.39127913107666,3.0643894120319,2.90432121800133,0.271524186188013,-0.174485496369319,-2.15706368710638,0.0792896516143129,-1.35729733760907,1.83329495398191,6.05833623141881,-1.00807919062523,0.957986726328111,-0.824530516431914,-2.18716385801361,0.489744332394224,7.99822964087001,0.980051917764467,1.10161430681949,0.0850013029396804,1.21184544799604,0.483669102507169,-1.25981850072446,2.72660045135215,-1.81262541463614,9.92228998480061,3.64135359698708,2.23593988012273,4.7370234552418,5.93334338038703,1.07655196826543,7.86598970805085,8.38838672053984,5.96631438487909,-3.94662123793299,-6.04813259789797,-0.507507120336627,-10.103411387139,-8.24503900195644,-0.570015170041099,0.812891428286113,-0.254355516128192,-0.417209908735316,0.84763753260144,-0.712514974044986,2.27804011905421,1.44230249721751,0.546283357374674,5.48948839265762,5.53562143232661,7.46329575517792,5.13736446717592,2.82973639208609,3.96596422915132,3.41833436993134,0.663066766679235,2.2644061906594,-0.744790099893156,0.364259139725651,0.876872116889186,-2.07635762776747,0.947098170202908,1.39226205994411,0.185906873358145,52.9970475984734,1.15155368649631,1.8032309790517,0.0728017802662207,2.4824338875404,0.862445702250876,1.4400593479004,2.73923088711986,0.236556827401496,0.610190142267344,1.8432632534749,-0.64407824865532,-0.69598589841636,3.29133817019827,-4.38754910519425,-0.416576887165116,0.161891921150259,1.11610745993313,-2.47839721439866,2.67025438767397,1.86030625604827,1.0161095890411,2.100341826624,3.18447971781306,3.13097900492351,3.69388748047424,4.31421228386103,2.72767284477731,5.43443477542762,1.88000248185146,0.401211563773604,0.260747833335124,-0.0177615822705066,1.05872363246335,0.236696673733982,0.0279543454712443,0.265357507230644,-0.744051873949602,1.1604027450526,0.109305031557425,3.38142706518117,3.32808624950107,3.75118875700046,4.32019905980978,0.80661423674128,1.75990637386417,0.790790406993466,-0.151705177144555,2.13485912603032,6.76368956070848,7.90738504367393,0.663468687004553,,2.68864434991679,4.52846553466205,-2.74554520686223,-2.35105774728416,4.24394546483911,2.18157417827724,3.85293615730293,1.8893207515264,4.59591066060471,4.58428451130359,-1.32891771502333,-5.26573327229966,1.83386667784595,2.4828209424478,1.87620861730558,4.94703046950861,4.42979813450293,4.71279975781302,3.79548859293343,-0.144185352756917,6.02417319019814,-0.849713099743619,-2.62764110851739,-8.25088577488444,-4.23607306468346,-6.81776323629784,-3.03365692340517,0.259682855406386,2.73229616127365,-1.92692787244493,-0.740035564815977,-0.825454246485234,-0.694554358654459,0.85236958745312,1.7625872742272,0.439315126320989,5.9903231648943,2.14755891700223,2.09374932298574,2.02810887742393,4.31440663453777,1.25479702038423,3.24692544679536,2.85710807290081,3.49915383193255,2.59711032092543,4.45238898667566,-1.2559460355284,1.94387218655702,-6.55737704918033,2.45397927926843,-5.76723840221019,0.896860986547085,-1.83058591097117,3.13953945557725,1.99075478446695,-0.72515444255566,5.90363540442675,-3.7894852583133,-4.42470389170897,-2.52012477947447,-3.36887041763604,1.83704184619015,-2.09234993881145,-2.55614709304375,-3.00186766759144,3.70548360987454,4.01331421753908,4.98446643127176,3.29245801921895,2.8513526847497,1.86250140433659,0.701771174748994,-0.329107004401111,1.03418589191722,,-3.62137031685479,-0.423759869407333,-0.172474421875799,-7.99405615478937,1.43686284944538,1.14856217515084,5.91231401703012,7.37252304635454,11.775101856499,4.75049694534245,4.88260344788321,7.13532201928112,-0.785471911524444,,3.61276167848843,3.36778453783728,3.06505952484254,0.71918,0.73015873015873,,3.2920999144372
2024-12-01,One year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-01,One year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-01,One year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-01,One year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-01,One year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-01,One year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-01,One year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
