date,Services,Services (wage-sensitive),Services (excl. wage-sensitive)
2024-09-01,3.939103685751778,4.083394143837911,3.8330066358160413
2024-08-01,4.135034194441046,4.1940869618997425,4.068356737998928
2024-07-01,3.979559374711222,4.231537009938477,3.817917099185597
2024-06-01,4.088231206654303,4.253093125569086,4.039206778928714
2024-05-01,4.10699081578634,4.241633315781018,4.056940832352326
2024-04-01,3.6877953654088267,4.254269951288679,3.3899849813114273
2024-03-01,4.021458200918623,4.319809405584487,3.8534411829500845
2024-02-01,3.96726049681781,4.345487511883466,3.7594772883913388
2024-01-01,3.972717689328854,4.364054252400227,3.7840694956358307
2023-12-01,3.9903862057396307,4.730116543037266,3.594092474950361
2023-11-01,4.041436082279361,4.7917755127862405,3.5877273909027374
2023-10-01,4.546001212168453,4.881823258181646,4.4521735410551395
2023-09-01,4.651139160874998,4.972507326755569,4.568817918641178
2023-08-01,5.295557674695942,5.1495053094542875,5.589953502596095
2023-07-01,5.422010680707464,5.210679589515448,5.799368108231014
2023-06-01,5.415880158895913,5.256784107838693,5.5098700535632785
2023-05-01,5.057031065930336,5.202762342577561,4.936217550403218
2023-04-01,5.252352803320854,5.0992729837213435,5.2421266303187934
2023-03-01,5.1027015111235965,5.116258919246574,5.064645645898402
2023-02-01,4.9419546005035935,5.0384261674852135,4.742915128930552
2023-01-01,4.557005602489862,4.867990972102971,4.1196063689130344
2022-12-01,4.386776985702085,4.237094549667188,4.486042589291483
2022-11-01,4.260724548187031,4.098686015711119,4.321385377266914
2022-10-01,4.321744788918026,4.020339658302659,4.532033712115545
2022-09-01,4.24647158965466,3.770190326957988,4.555616176514884
2022-08-01,3.7445876794996114,3.2572389625715967,4.081026944863546
2022-07-01,3.645442996908476,3.0773440015828117,4.119469159956809
2022-06-01,3.284706136441392,2.902164048897395,3.6408868627857167
2022-05-01,3.4844058678920526,2.9126931792616353,3.8141100486974793
2022-04-01,3.2659893343183697,2.791878665711991,3.576413530243764
2022-03-01,2.693319458150444,2.486936870231031,2.796476480337565
2022-02-01,2.504364096039519,2.382054865690056,2.5363461223554435
2022-01-01,2.41086150674237,2.1681767107828502,2.462017407466625
2021-12-01,2.477763718784616,2.1866712955016863,2.5979056403328027
2021-11-01,2.496326893857449,2.177373940359365,2.992237314297452
2021-10-01,2.1905320364630296,2.0427836043569547,2.077338109892607
2021-09-01,1.8828102236187805,1.7749242698204166,1.7376258826208673
2021-08-01,1.4640879648412457,1.7832681481669461,0.8648571864913058
2021-07-01,1.2433481409527092,1.7721556748227407,0.4159612418783194
2021-06-01,0.9101749116463838,1.7044969952693863,0.23449674725727984
2021-05-01,0.9847760338041842,1.7788018137526542,0.7237510176899026
2021-04-01,0.819326968419858,1.7700457904271716,0.44086368861020264
2021-03-01,1.148553697839267,1.7573076727590249,1.0356897506863174
2021-02-01,0.9863029193750937,1.7397388976519113,0.9433437908856446
2021-01-01,1.0943847189790827,1.7789145301420723,1.2232863921028454
2020-12-01,0.6718522680724243,1.641177279369381,0.1628635009097424
2020-11-01,0.5862939421533643,1.6295280618439176,0.006213658802009101
2020-10-01,0.387947280296831,1.632947520603931,-0.22849886270680256
2020-09-01,0.49920911951405794,1.7589929204121575,-0.11818576933761667
2020-08-01,0.635892524728204,1.8477346602354128,0.041493871094318194
2020-07-01,0.8240659941812251,1.9417109741021326,0.4010989214928453
2020-06-01,1.1930342374821616,1.9489608257169857,0.8313843573236515
2020-05-01,1.2651078429844784,1.7381638239273054,1.0944699886791804
2020-04-01,1.159294616857815,1.7290184224551384,0.8708458632552011
2020-03-01,1.374589930473392,1.8053778006633165,1.099588965347391
2020-02-01,1.6914511140103654,1.7796989986380605,1.5096040059421636
2020-01-01,1.599633062919905,1.8166279526756879,1.3795425597985929
2019-12-01,1.7955490270672898,1.8587307126774075,1.7694332916461324
2019-11-01,1.6783907773754072,1.8672138908968188,1.8435114863574298
2019-10-01,1.67250586871875,1.8078661008245562,1.407757242806179
2019-09-01,1.6034732738004926,1.8403503460570712,1.3034305735478096
2019-08-01,1.5326203237272886,1.8867937840975684,1.03594999282746
2019-07-01,1.4166373589582428,1.6845553752183586,0.9215861852108013
2019-06-01,1.5155506201177635,1.7000757704707197,1.603455178191867
2019-05-01,1.1591776158009712,1.7312753780249255,0.7082890257270915
2019-04-01,1.6647457085229058,1.7843105650254136,2.0131367738681347
2019-03-01,1.177785087989928,1.7086033083664034,0.8393039575283651
2019-02-01,1.2030411630629032,1.7138893670736364,1.1695849034948749
2019-01-01,1.3336266595136923,1.661180594699568,1.5157796556980963
2018-12-01,1.3894463004349082,1.5851405974878348,1.2111318481465465
2018-11-01,1.4375668509564101,1.5702055882460528,1.2639246872321137
2018-10-01,1.6934992091201604,1.5772885784812933,1.8190553085442054
2018-09-01,1.3987168380800952,1.327694822643974,1.4657463259349495
2018-08-01,1.4444348571406838,1.260901845362899,1.645526657168254
2018-07-01,1.495377943974179,1.3568820465085647,1.7336188872481613
2018-06-01,1.4905294530681306,1.3264161603078775,1.4015802987702655
2018-05-01,1.7079675857368828,1.3381314252161831,2.1424973358427546
2018-04-01,1.238509260959429,1.3526557891507842,0.8817473585308344
2018-03-01,1.6202459516385368,1.2984803084890655,1.9097346085697033
2018-02-01,1.4179419142147245,1.2517511626840905,1.4068159341885018
2018-01-01,1.3791740060244215,1.3324754110437205,1.2651184822401618
